Time,280,281,282,283,284,285,286,287,320,321,322,323,324,325,326,327,360,361,362,363,364,365,366,367,400,401,402,403,404,405,406,407,440,441,442,443,444,445,446,447,474,475,882,883,884,885,886,887,888,889,922,923,924,925,926,927,928,929,1154,1155,1156,1157,1158,1159,1160,1161,1194,1195,1196,1197,1198,1199,1200,1201,1234,1235,1236,1237,1238,1239,1240,1241,1271,1272,1273,1274,1275,1589,1590,1591,1592,1593,1594,1595,1596,1629,1630,1631,1632,1633,1634,1635,1636,1669,1670,1671,1672,1673,1674,1675,1676,1709,1710,1711,1712,1713,1714,1715,1716,1745,1746,1747,1748,1833,1834,1835,2149,2150,2151,2152,2153,2154,2155,2156,2185,2186,2187,2188,2189,2190,2191,2313,2316,2319,2322,2325
90,107,112,117,112,107,117,117,14,102,117,122,122,112,122,122,24,112,112,107,122,117,112,122,58,107,102,112,117,117,112,122,29,122,117,107,117,102,117,117,117,112,161,112,107,112,117,117,112,122,102,102,117,131,122,122,117,117,117,107,102,112,107,102,102,117,83,97,102,112,117,97,107,126,63,102,112,112,112,112,107,126,112,107,102,107,102,102,102,107,117,107,97,107,107,83,107,107,102,112,102,97,112,102,92,97,102,107,107,117,122,136,97,122,112,112,117,117,126,131,107,107,107,112,97,107,107,112,107,112,112,102,107,112,19,102,117,112,117,107,107,122,112,117,112,122,102
100,122,126,136,126,122,131,126,68,112,131,131,146,126,136,126,83,131,117,117,151,131,126,126,107,122,126,112,136,136,122,126,78,141,126,117,136,117,136,117,126,126,239,131,112,112,131,131,107,117,112,112,146,156,141,146,141,126,131,126,107,112,112,107,102,102,102,112,117,112,126,97,107,136,107,112,112,122,117,122,107,126,131,117,107,102,107,102,107,107,112,112,107,112,92,107,122,107,102,112,107,102,102,112,102,107,107,122,107,141,131,146,102,146,131,136,131,126,136,156,122,122,117,126,102,112,112,136,126,122,122,112,117,122,73,117,141,126,131,122,122,131,136,141,131,141,117
110,117,122,136,117,122,136,122,112,112,136,136,151,126,136,117,126,141,126,102,156,131,122,122,131,117,136,102,131,131,117,122,122,141,131,117,131,117,136,112,122,126,312,131,97,102,122,136,102,117,112,107,141,166,131,151,141,122,136,122,107,107,102,102,92,83,107,97,112,107,126,87,102,131,117,107,102,117,107,122,92,126,136,112,97,97,97,92,97,102,102,112,97,102,78,107,117,102,92,102,97,87,97,102,92,102,97,117,102,131,131,146,87,156,131,131,122,117,131,161,126,126,112,122,97,107,102,136,131,122,117,117,112,122,107,112,141,126,131,122,122,131,141,146,131,146,122
120,117,112,141,107,117,131,112,131,112,131,136,141,122,126,112,136,131,122,102,151,131,112,126,136,112,126,107,126,131,107,122,136,136,131,107,126,112,131,107,122,126,371,126,87,107,117,141,102,122,117,102,126,156,122,141,126,107,136,117,107,112,97,102,87,92,97,92,102,102,122,83,87,126,117,97,97,117,102,122,92,126,141,112,92,97,87,92,92,97,107,107,92,97,83,107,122,102,92,102,97,83,102,97,78,97,92,107,107,122,122,156,87,151,122,117,117,107,117,161,122,122,107,117,92,102,102,136,122,102,107,112,107,117,112,102,131,122,126,117,102,126,141,146,126,141,117
130,102,112,136,102,117,122,112,131,107,117,131,131,126,117,117,136,126,112,97,146,131,102,117,136,112,107,102,117,136,102,122,141,126,126,102,117,102,126,107,117,126,415,131,92,112,122,146,112,122,117,102,117,151,112,141,122,102,126,112,97,112,92,107,83,102,92,97,92,112,122,87,92,131,107,92,107,117,107,126,92,131,136,112,92,97,87,92,97,97,112,107,97,102,78,97,122,97,97,97,107,87,97,92,87,92,87,112,112,117,117,156,97,141,112,107,117,97,112,156,126,112,107,112,92,92,102,136,112,107,102,112,102,112,102,102,122,112,117,117,97,122,141,141,126,146,112
140,102,107,122,92,117,112,97,131,102,107,117,117,117,107,107,131,117,102,87,136,126,92,107,126,107,87,87,102,122,92,107,136,117,112,97,102,97,112,97,102,122,434,131,92,107,117,141,107,126,112,107,117,141,112,136,117,102,117,122,97,112,102,102,92,102,97,107,102,112,122,92,97,141,117,97,107,117,107,122,97,136,136,117,92,102,92,92,97,97,107,107,107,107,87,92,117,92,97,97,107,87,107,87,92,97,92,112,107,117,117,141,102,131,112,112,112,102,117,146,122,107,107,107,97,87,107,136,107,112,92,102,92,107,107,102,117,107,112,102,102,122,146,136,122,146,107
150,102,83,112,73,97,97,83,117,97,97,102,112,97,92,87,122,107,83,73,126,112,83,92,117,78,83,73,92,97,78,87,131,87,97,83,87,73,97,78,78,117,356,131,92,102,112,136,107,126,112,107,112,146,107,126,107,87,92,122,102,112,102,97,92,102,102,97,102,117,126,83,97,136,112,87,97,122,102,117,102,131,141,112,97,102,92,83,87,97,112,107,97,102,83,102,117,97,97,102,102,92,102,87,92,97,97,112,107,117,107,131,97,126,117,112,107,102,117,131,107,102,97,102,102,87,107,126,102,112,83,87,83,97,107,83,107,112,117,102,102,112,131,122,102,131,87
160,97,68,107,68,68,83,78,107,107,97,102,107,83,92,78,112,97,78,58,122,87,73,87,102,68,78,68,87,83,68,83,117,78,92,68,78,53,87,68,68,122,239,131,87,112,112,141,102,126,112,97,83,126,83,107,87,68,83,112,107,117,102,97,87,92,97,92,107,107,126,87,97,136,107,83,102,117,107,112,87,126,136,107,97,107,92,92,83,102,112,112,83,107,83,97,117,102,97,107,92,97,97,87,78,102,92,117,102,97,83,112,92,117,102,92,83,73,92,117,92,97,83,97,87,92,102,117,107,87,87,83,78,92,102,63,102,112,117,97,107,102,126,107,92,117,78
170,107,68,102,68,58,83,68,97,112,92,97,107,78,97,78,102,97,68,53,117,68,58,83,92,68,73,63,87,87,53,73,102,97,92,58,92,53,83,68,78,131,200,122,92,102,117,141,97,112,112,97,78,107,73,92,83,63,92,102,102,112,97,102,83,92,87,87,102,107,126,92,87,131,107,92,102,112,97,117,83,126,131,107,92,102,92,97,92,102,107,107,87,97,78,87,122,102,87,102,92,87,97,87,83,92,87,107,92,68,63,112,83,102,73,68,53,48,73,117,87,92,78,87,87,97,92,117,102,78,97,83,87,97,102,63,97,117,122,112,102,92,131,102,92,117,78
180,112,73,92,73,73,87,73,97,112,97,87,112,73,107,87,102,97,73,58,126,83,68,83,87,73,83,63,92,102,73,87,92,117,87,58,97,78,92,78,92,131,190,122,87,92,122,131,78,107,107,92,87,112,78,97,87,78,107,107,87,102,87,97,83,87,92,92,92,97,117,83,87,122,112,92,97,97,87,112,87,117,131,112,87,92,83,92,87,97,102,92,92,78,78,87,112,87,73,97,92,73,87,87,83,87,73,92,87,73,78,107,73,97,68,63,63,58,83,122,83,87,83,83,78,87,87,122,107,92,102,92,97,102,102,63,97,122,131,122,112,97,126,112,92,112,78
