Time,1,2,31,36,37,38,39,40,41,42,43,76,77,78,79,80,81,82,83,272,273,274,275,276,277,278,279,312,313,314,315,316,317,318,319,352,353,354,355,356,357,358,359,392,393,394,395,396,397,398,399,432,433,434,435,436,437,438,439,472,473,874,875,876,877,878,879,880,881,914,915,916,917,918,919,920,921,1146,1147,1148,1149,1150,1151,1152,1153,1186,1187,1188,1189,1190,1191,1192,1193,1226,1227,1228,1229,1230,1231,1232,1233,1266,1267,1268,1269,1270,1581,1582,1583,1584,1585,1586,1587,1588,1621,1622,1623,1624,1625,1626,1627,1628,1661,1662,1663,1664,1665,1666,1667,1668,1701,1702,1703,1704,1705,1706,1707,1708,1741,1742,1743,1744,1830,1831,1832,2141,2142,2143,2144,2145,2146,2147,2148,2178,2179,2180,2181,2182,2183,2184,2312,2315,2318,2321,2324,2327
130,-424,-478,-439,-419,-458,-439,-449,-434,-449,-434,-458,-429,-454,-468,-424,-458,-400,-415,-410,-410,-375,-415,-361,-371,-390,-385,-405,-390,-395,-375,-424,-351,-400,-385,-405,-400,-351,-346,-434,-356,-371,-390,-390,-356,-341,-332,-380,-400,-341,-356,-380,-385,-366,-351,-346,-351,-380,-332,-341,-429,-419,-415,-375,-395,-439,-415,-395,-434,-410,-395,-385,-458,-366,-429,-415,-380,-405,-395,-390,-405,-395,-390,-390,-390,-395,-400,-395,-410,-424,-371,-366,-444,-424,-371,-390,-415,-356,-390,-390,-410,-449,-415,-375,-385,-351,-375,-371,-395,-410,-395,-351,-366,-341,-371,-395,-390,-366,-361,-366,-351,-385,-385,-341,-380,-361,-366,-361,-395,-395,-434,-371,-424,-400,-375,-366,-356,-390,-434,-366,-380,-366,-346,-380,-371,-375,-424,-419,-400,-375,-380,-371,-410,-390,-356,-405,-424,-390,-410,-405,-410,-429,-385,-385,-395,-371,-361
140,-439,-488,-449,-439,-458,-449,-449,-444,-458,-439,-473,-439,-468,-483,-458,-463,-424,-429,-424,-429,-390,-434,-371,-395,-395,-400,-424,-400,-405,-405,-424,-371,-419,-405,-419,-419,-371,-356,-449,-380,-375,-400,-410,-375,-366,-356,-385,-415,-361,-380,-415,-410,-390,-371,-375,-366,-400,-361,-361,-449,-434,-444,-390,-410,-439,-444,-410,-449,-429,-415,-405,-473,-400,-444,-424,-390,-419,-419,-400,-424,-405,-410,-405,-405,-415,-410,-410,-424,-429,-390,-390,-463,-429,-395,-405,-429,-395,-415,-380,-444,-468,-429,-390,-405,-375,-395,-385,-400,-424,-395,-375,-390,-361,-395,-419,-395,-390,-395,-390,-361,-400,-400,-371,-395,-385,-400,-380,-395,-410,-458,-390,-439,-410,-385,-385,-375,-405,-454,-390,-395,-385,-380,-400,-390,-395,-449,-424,-415,-405,-395,-390,-424,-410,-375,-424,-439,-429,-424,-419,-429,-458,-415,-405,-424,-395,-390
150,-439,-502,-458,-444,-478,-458,-454,-454,-468,-449,-483,-449,-468,-488,-458,-478,-429,-439,-444,-439,-415,-449,-375,-410,-410,-405,-444,-410,-424,-415,-439,-385,-429,-410,-439,-434,-385,-371,-463,-400,-375,-410,-434,-385,-375,-371,-400,-439,-361,-400,-424,-429,-400,-375,-385,-380,-410,-375,-380,-458,-458,-463,-400,-415,-454,-463,-429,-454,-449,-424,-419,-483,-400,-458,-429,-395,-439,-439,-415,-434,-410,-424,-410,-405,-429,-429,-429,-439,-444,-405,-400,-468,-458,-410,-419,-444,-400,-439,-400,-458,-493,-444,-405,-415,-385,-410,-395,-424,-434,-405,-390,-400,-375,-405,-434,-415,-400,-395,-395,-375,-405,-419,-380,-410,-395,-400,-400,-410,-415,-473,-405,-458,-419,-395,-400,-390,-410,-473,-410,-415,-395,-385,-410,-405,-395,-463,-449,-419,-410,-405,-390,-429,-424,-390,-449,-454,-434,-449,-434,-439,-458,-439,-419,-449,-415,-405
160,-439,-517,-468,-458,-488,-468,-473,-463,-483,-458,-498,-454,-478,-502,-468,-478,-439,-439,-454,-444,-429,-463,-400,-415,-419,-415,-454,-415,-444,-429,-463,-405,-449,-424,-439,-444,-400,-385,-483,-415,-385,-424,-434,-395,-395,-380,-415,-444,-375,-410,-449,-444,-415,-390,-400,-380,-424,-380,-400,-468,-473,-478,-415,-429,-473,-478,-449,-478,-454,-434,-449,-498,-429,-468,-449,-415,-444,-454,-434,-449,-434,-429,-429,-424,-439,-434,-439,-449,-463,-410,-410,-488,-458,-424,-434,-454,-415,-454,-419,-463,-493,-454,-424,-429,-395,-410,-415,-439,-449,-434,-400,-410,-385,-429,-449,-424,-410,-405,-424,-395,-419,-424,-395,-424,-405,-434,-419,-434,-429,-478,-410,-468,-434,-410,-405,-400,-424,-483,-424,-429,-410,-400,-419,-424,-410,-473,-449,-434,-410,-405,-415,-439,-439,-400,-468,-468,-449,-458,-454,-454,-473,-468,-429,-483,-429,-424
170,-444,-517,-483,-463,-488,-473,-473,-468,-488,-468,-502,-463,-493,-512,-483,-488,-458,-449,-458,-458,-424,-478,-405,-424,-439,-439,-458,-424,-439,-444,-463,-415,-454,-434,-449,-458,-419,-395,-488,-429,-400,-439,-444,-405,-410,-405,-424,-458,-395,-419,-454,-454,-429,-400,-419,-385,-424,-410,-405,-473,-473,-478,-424,-434,-478,-488,-454,-483,-463,-449,-444,-502,-439,-473,-458,-419,-449,-468,-429,-458,-439,-434,-439,-434,-439,-439,-444,-458,-463,-419,-434,-498,-463,-429,-439,-468,-434,-458,-429,-473,-498,-468,-419,-444,-415,-415,-434,-434,-454,-429,-415,-429,-400,-429,-458,-429,-419,-429,-434,-419,-429,-429,-405,-424,-434,-434,-419,-444,-444,-483,-419,-473,-439,-415,-415,-405,-434,-483,-444,-429,-424,-419,-424,-434,-419,-483,-444,-444,-434,-415,-424,-444,-439,-415,-468,-478,-473,-468,-458,-468,-483,-488,-444,-483,-439,-429
180,-454,-527,-488,-468,-498,-483,-488,-478,-483,-468,-502,-473,-493,-517,-493,-498,-449,-458,-458,-458,-439,-483,-415,-434,-449,-439,-468,-434,-454,-468,-478,-439,-454,-439,-463,-473,-434,-400,-498,-434,-424,-449,-454,-415,-424,-410,-429,-468,-405,-429,-478,-473,-449,-410,-424,-400,-434,-415,-415,-483,-488,-498,-429,-444,-483,-507,-454,-488,-468,-454,-458,-512,-444,-483,-468,-434,-458,-478,-444,-468,-444,-449,-439,-439,-449,-454,-454,-473,-473,-429,-439,-498,-478,-449,-449,-473,-434,-483,-439,-493,-507,-473,-434,-439,-424,-424,-439,-449,-458,-439,-429,-444,-410,-439,-478,-444,-429,-439,-449,-424,-429,-444,-419,-439,-439,-439,-444,-454,-439,-493,-424,-488,-449,-419,-429,-410,-439,-498,-454,-449,-429,-434,-434,-429,-424,-488,-458,-454,-439,-424,-415,-439,-458,-429,-488,-483,-478,-478,-463,-473,-498,-488,-458,-498,-458,-454
190,-458,-537,-493,-483,-512,-493,-493,-483,-507,-478,-517,-478,-498,-522,-498,-502,-468,-463,-454,-468,-454,-488,-434,-439,-458,-444,-473,-444,-468,-478,-493,-444,-483,-449,-473,-473,-439,-410,-512,-449,-439,-449,-463,-424,-434,-410,-449,-473,-434,-444,-488,-483,-463,-419,-444,-410,-458,-419,-439,-498,-502,-507,-439,-449,-498,-512,-473,-493,-478,-463,-458,-522,-444,-493,-488,-434,-468,-488,-463,-473,-463,-454,-449,-449,-454,-458,-478,-478,-483,-439,-454,-512,-493,-454,-463,-478,-444,-488,-444,-498,-522,-478,-444,-454,-444,-434,-449,-463,-473,-449,-434,-458,-419,-463,-483,-454,-439,-454,-449,-429,-434,-454,-429,-449,-449,-439,-454,-454,-449,-502,-439,-507,-458,-439,-434,-439,-449,-507,-463,-458,-439,-449,-439,-454,-439,-498,-468,-463,-454,-429,-434,-444,-458,-439,-507,-498,-502,-488,-478,-488,-507,-502,-468,-517,-463,-468
200,-463,-537,-498,-493,-507,-493,-498,-488,-507,-488,-522,-478,-517,-527,-502,-507,-468,-478,-454,-473,-454,-498,-439,-449,-463,-454,-483,-449,-468,-478,-498,-449,-493,-463,-478,-483,-449,-419,-522,-458,-439,-468,-473,-429,-434,-429,-458,-483,-434,-458,-493,-483,-468,-429,-454,-419,-463,-434,-439,-507,-502,-517,-454,-458,-512,-512,-478,-507,-478,-468,-473,-532,-458,-498,-488,-449,-478,-488,-463,-473,-463,-463,-454,-454,-458,-458,-473,-483,-493,-444,-468,-517,-498,-454,-463,-488,-458,-498,-454,-502,-522,-483,-439,-454,-444,-444,-449,-463,-478,-454,-434,-458,-429,-463,-488,-458,-449,-458,-449,-429,-444,-454,-449,-454,-454,-458,-458,-468,-463,-512,-444,-507,-468,-444,-439,-444,-463,-512,-463,-463,-444,-449,-449,-449,-444,-502,-468,-468,-454,-444,-434,-458,-463,-449,-512,-507,-517,-498,-493,-502,-517,-512,-473,-532,-478,-468
210,-468,-541,-507,-493,-517,-507,-498,-498,-517,-493,-532,-488,-517,-532,-507,-517,-478,-483,-454,-488,-454,-507,-439,-458,-458,-458,-493,-458,-473,-488,-498,-449,-483,-468,-488,-488,-449,-429,-517,-473,-429,-473,-483,-444,-434,-429,-454,-493,-439,-463,-498,-493,-468,-439,-454,-424,-468,-434,-449,-517,-507,-532,-463,-468,-512,-522,-488,-522,-493,-473,-468,-537,-463,-517,-488,-454,-483,-502,-468,-488,-463,-473,-463,-463,-468,-473,-478,-493,-498,-454,-468,-527,-512,-458,-468,-498,-468,-507,-458,-512,-537,-493,-449,-463,-449,-449,-449,-468,-488,-458,-444,-463,-439,-473,-498,-463,-454,-463,-458,-449,-454,-468,-454,-463,-454,-458,-473,-468,-473,-522,-454,-512,-473,-444,-449,-444,-468,-527,-473,-468,-454,-458,-463,-454,-454,-512,-473,-478,-449,-454,-439,-468,-478,-458,-522,-512,-517,-507,-498,-512,-527,-527,-488,-537,-488,-468
220,-478,-551,-517,-498,-522,-502,-502,-502,-517,-493,-532,-488,-517,-541,-507,-522,-493,-483,-454,-488,-468,-512,-449,-468,-473,-463,-498,-463,-488,-488,-507,-463,-488,-473,-493,-498,-454,-429,-532,-473,-434,-473,-493,-444,-444,-439,-463,-502,-439,-463,-498,-502,-468,-434,-454,-434,-463,-439,-449,-522,-522,-537,-473,-473,-517,-532,-502,-517,-507,-483,-473,-537,-463,-522,-493,-454,-498,-512,-483,-493,-478,-483,-478,-468,-483,-483,-493,-502,-507,-463,-478,-527,-522,-473,-483,-502,-478,-507,-473,-522,-546,-507,-458,-473,-449,-463,-463,-483,-493,-463,-449,-463,-439,-483,-498,-478,-458,-463,-468,-449,-454,-478,-463,-478,-463,-463,-473,-483,-473,-532,-463,-522,-478,-454,-454,-439,-468,-537,-483,-483,-463,-454,-468,-454,-458,-512,-488,-478,-449,-458,-444,-473,-488,-468,-532,-522,-517,-517,-512,-517,-537,-541,-498,-551,-498,-483
