Time,29,30,208,209,210,211,212,213,214,215,264,265,266,267,268,269,270,271,608,609,610,611,612,613,686,687,688,689,690,691,692,693,742,743,744,745,746,747,748,749,798,799,800,801,802,803,804,805,854,855,856,857,858,859,860,861,978,979,980,981,982,983,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1114,1115,1116,1117,1142,1143,1144,1145,1426,1427,1428,1429,1430,1431,1432,1433,1482,1483,1484,1485,1486,1487,1488,1489,1514,1515,1516,1517,1566,1567,1568,1569,1570,1571,1572,1573,1580,1887,1888,1889,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1965,1990,1991,1992,1993,2042,2043,2044,2045,2046,2047,2048,2049,2098,2099,2100,2101,2102,2103,2104,2105,2136,2137,2138,2139,2140,2235,2236,2237,2250,2251,2306,2307,2308,2309,2310,2311
90,-63,-107,48,4,-43,9,-58,-73,24,-43,24,0,-43,9,-39,-78,43,24,-14,-39,-24,29,-48,-34,14,-34,0,29,-24,-78,68,-24,29,-19,-9,29,14,-43,102,-14,-14,-24,-48,24,-34,-53,87,0,-29,-34,-43,24,-78,-102,-68,-34,-78,14,-24,19,-68,-58,-92,14,4,53,-43,-24,63,9,-68,-63,-19,-19,4,19,29,-14,-19,78,4,0,0,39,-24,-68,63,19,9,19,0,39,-34,-48,78,14,-19,-4,-4,39,43,-4,-19,68,-48,-97,29,-34,29,-107,-24,-34,-102,14,0,-4,-92,-39,68,9,-83,-73,-73,-58,-92,-14,0,39,9,-9,-58,58,-14,-68,-24,48,34,19,-48,68,9,-29,-68,39,4,53,29,83,-53,4,-4,24,-39,-78,-63,-68,-39,9,-68,-136
100,-107,-146,4,-34,-87,9,-102,-126,-24,-87,-19,-43,-92,9,-83,-122,-4,-24,-58,-78,-78,29,-92,-78,-24,-83,-48,29,-63,-126,19,-68,-9,-58,-58,29,-24,-87,58,-63,-53,-68,-97,19,-78,-102,34,-43,-73,-73,-97,24,-117,-151,-117,-78,-117,-24,-73,14,-107,-97,-131,-24,-43,58,-87,-73,14,-39,-107,-102,-63,-63,-43,19,-14,-53,-68,78,-39,-39,-48,34,-73,-117,14,-29,-34,-14,-48,39,-83,-92,29,-34,-63,-48,-53,39,-4,-39,-63,73,-92,-146,-24,-87,-19,-151,-63,-78,-136,-24,-48,-4,-136,-87,19,-39,-122,-112,-107,-107,-131,-58,-48,39,-34,-48,-107,58,-58,-126,-78,4,-9,-19,-97,68,-29,-78,-117,-9,-43,9,-14,78,-97,-39,-43,-24,-83,-117,-107,-112,-87,9,-107,-180
110,-151,-190,-39,-83,-146,4,-151,-175,-83,-141,-68,-92,-141,4,-126,-175,-63,-78,-102,-136,-126,29,-136,-131,-68,-126,-107,29,-117,-180,-43,-122,-53,-107,-112,29,-68,-141,0,-122,-97,-117,-151,19,-122,-156,-24,-97,-117,-126,-146,24,-166,-205,-170,-131,-161,-73,-126,19,-146,-136,-175,-73,-97,53,-136,-126,-43,-92,-151,-146,-112,-112,-102,19,-58,-107,-122,73,-83,-87,-107,34,-122,-170,-43,-87,-83,-68,-102,39,-131,-146,-24,-87,-112,-97,-102,39,-48,-87,-122,73,-141,-200,-78,-136,-58,-195,-112,-136,-175,-68,-107,-4,-180,-141,-43,-97,-151,-151,-146,-146,-175,-107,-102,43,-83,-97,-156,58,-102,-175,-136,-53,-58,-73,-151,68,-83,-131,-180,-68,-92,-39,-68,78,-146,-87,-92,-73,-126,-166,-151,-161,-136,9,-156,-234
120,-205,-239,-97,-131,-200,0,-205,-224,-136,-200,-122,-136,-200,0,-180,-224,-122,-126,-161,-185,-185,19,-190,-185,-122,-180,-166,19,-170,-229,-97,-175,-112,-161,-170,19,-122,-195,-58,-170,-156,-170,-209,14,-175,-200,-78,-146,-175,-175,-205,19,-219,-258,-224,-185,-209,-126,-180,4,-190,-185,-224,-126,-156,43,-185,-175,-97,-141,-185,-185,-166,-161,-156,14,-112,-156,-175,63,-141,-136,-161,19,-175,-224,-97,-136,-136,-122,-156,24,-180,-200,-83,-141,-161,-151,-161,24,-102,-146,-180,63,-195,-249,-141,-190,-112,-244,-166,-190,-214,-122,-166,-19,-224,-190,-102,-146,-195,-190,-190,-195,-224,-161,-161,34,-136,-151,-214,58,-161,-229,-195,-107,-107,-122,-205,63,-126,-180,-234,-122,-151,-97,-126,78,-190,-136,-146,-131,-190,-219,-205,-219,-195,0,-209,-283
130,-253,-283,-146,-180,-249,-39,-258,-273,-185,-249,-170,-190,-253,-43,-234,-273,-175,-180,-205,-239,-234,-29,-249,-229,-170,-229,-209,-29,-219,-273,-146,-224,-161,-214,-214,-24,-175,-244,-112,-219,-200,-219,-258,-29,-229,-249,-126,-200,-224,-229,-253,-24,-273,-302,-273,-239,-249,-180,-229,-39,-229,-229,-258,-180,-205,4,-234,-229,-146,-195,-229,-229,-214,-214,-200,-34,-166,-214,-224,19,-190,-195,-209,-24,-224,-268,-156,-190,-185,-170,-205,-19,-229,-249,-141,-190,-214,-200,-209,-19,-151,-200,-229,19,-249,-297,-190,-244,-161,-288,-219,-244,-249,-175,-219,-58,-278,-239,-156,-200,-224,-224,-234,-239,-268,-214,-209,-14,-190,-205,-273,14,-209,-278,-249,-161,-161,-180,-253,24,-180,-229,-283,-175,-205,-151,-180,29,-244,-185,-200,-185,-239,-273,-253,-263,-249,-43,-263,-327
140,-297,-322,-195,-229,-302,-92,-312,-322,-239,-292,-219,-239,-302,-97,-283,-322,-224,-229,-253,-278,-288,-83,-297,-273,-214,-278,-258,-83,-273,-322,-200,-273,-205,-263,-268,-83,-224,-288,-161,-273,-249,-268,-307,-83,-283,-292,-180,-249,-273,-273,-307,-83,-327,-351,-322,-288,-283,-229,-278,-92,-268,-263,-288,-229,-253,-58,-292,-273,-195,-244,-268,-268,-263,-258,-253,-83,-214,-258,-273,-34,-239,-244,-258,-78,-278,-317,-205,-239,-234,-224,-258,-78,-283,-292,-190,-239,-253,-249,-263,-78,-195,-253,-283,-39,-297,-346,-244,-292,-205,-332,-268,-297,-273,-229,-268,-122,-322,-283,-200,-249,-253,-253,-268,-283,-312,-263,-258,-68,-239,-253,-322,-43,-263,-322,-297,-209,-209,-229,-307,-34,-229,-273,-332,-219,-249,-200,-234,-19,-292,-239,-249,-234,-283,-322,-302,-317,-297,-102,-312,-371
150,-346,-361,-239,-283,-351,-151,-361,-371,-283,-346,-268,-292,-356,-161,-336,-366,-268,-278,-307,-332,-336,-136,-351,-322,-268,-332,-312,-141,-327,-371,-253,-322,-253,-312,-322,-136,-278,-332,-214,-322,-302,-322,-366,-146,-336,-341,-234,-297,-322,-327,-356,-141,-375,-395,-371,-336,-312,-278,-332,-151,-307,-302,-322,-278,-307,-117,-341,-317,-244,-297,-307,-302,-312,-307,-307,-146,-258,-307,-332,-92,-288,-292,-312,-136,-332,-366,-253,-288,-283,-273,-307,-131,-336,-341,-239,-288,-307,-297,-312,-131,-244,-302,-336,-97,-346,-390,-292,-341,-253,-375,-317,-346,-297,-273,-322,-175,-366,-336,-249,-292,-278,-283,-297,-322,-356,-307,-312,-122,-288,-307,-366,-97,-312,-371,-346,-253,-253,-278,-351,-92,-283,-317,-375,-268,-297,-249,-283,-78,-341,-288,-292,-283,-332,-371,-351,-361,-346,-156,-366,-410
160,-390,-395,-292,-332,-405,-205,-410,-415,-332,-390,-322,-341,-405,-209,-385,-410,-322,-327,-356,-380,-390,-190,-400,-366,-322,-375,-361,-190,-371,-419,-297,-375,-307,-356,-371,-190,-327,-375,-258,-366,-351,-371,-415,-195,-380,-385,-278,-346,-371,-375,-410,-195,-424,-439,-419,-385,-346,-327,-380,-200,-341,-341,-346,-332,-356,-166,-390,-361,-292,-341,-336,-341,-356,-356,-356,-200,-307,-361,-380,-146,-341,-346,-361,-190,-380,-410,-302,-336,-332,-317,-361,-180,-385,-385,-288,-336,-351,-351,-366,-185,-292,-346,-390,-151,-400,-439,-341,-395,-302,-415,-361,-395,-322,-322,-375,-229,-415,-380,-297,-346,-307,-312,-322,-361,-400,-356,-366,-175,-332,-356,-410,-151,-361,-415,-390,-302,-307,-322,-390,-146,-336,-366,-415,-317,-351,-297,-327,-136,-385,-332,-341,-336,-385,-415,-400,-410,-400,-209,-415,-454
170,-429,-429,-341,-380,-449,-253,-454,-463,-385,-439,-366,-385,-454,-258,-434,-458,-371,-375,-405,-429,-439,-244,-449,-415,-371,-424,-410,-239,-419,-468,-351,-419,-351,-410,-419,-239,-375,-424,-307,-415,-400,-419,-463,-244,-429,-434,-327,-395,-419,-424,-463,-244,-468,-488,-458,-429,-371,-375,-429,-249,-371,-375,-375,-375,-410,-214,-439,-415,-346,-390,-361,-375,-405,-410,-405,-249,-356,-410,-429,-190,-390,-390,-410,-239,-424,-458,-351,-380,-380,-371,-410,-234,-429,-434,-336,-390,-400,-400,-415,-239,-341,-395,-434,-200,-444,-488,-385,-444,-351,-458,-410,-444,-336,-375,-424,-278,-454,-429,-346,-395,-332,-341,-351,-400,-439,-410,-415,-229,-385,-405,-463,-200,-410,-463,-439,-351,-356,-375,-444,-195,-380,-415,-458,-366,-395,-346,-380,-180,-434,-385,-390,-385,-429,-463,-449,-454,-449,-263,-458,-498
180,-478,-468,-395,-434,-502,-307,-502,-512,-434,-488,-415,-439,-502,-307,-483,-512,-415,-424,-454,-483,-488,-292,-498,-468,-419,-478,-458,-288,-468,-512,-400,-468,-400,-458,-468,-288,-419,-478,-361,-463,-449,-468,-512,-297,-478,-488,-375,-439,-468,-473,-512,-292,-517,-537,-507,-473,-405,-424,-483,-297,-395,-405,-410,-429,-458,-263,-488,-463,-390,-439,-395,-405,-454,-458,-454,-297,-405,-458,-473,-244,-439,-444,-463,-288,-478,-507,-395,-434,-434,-419,-458,-283,-483,-483,-380,-439,-454,-444,-463,-288,-395,-449,-483,-249,-498,-537,-434,-488,-400,-498,-468,-498,-361,-424,-473,-327,-493,-478,-395,-444,-351,-361,-375,-444,-478,-463,-463,-278,-434,-458,-507,-253,-463,-512,-488,-395,-405,-424,-488,-244,-429,-463,-502,-415,-444,-400,-434,-234,-478,-429,-444,-434,-478,-517,-498,-512,-498,-312,-512,-541
