Time,17,18,160,161,162,163,164,165,166,167,216,217,218,219,220,221,222,223,572,573,574,575,576,577,638,639,640,641,642,643,644,645,694,695,696,697,698,699,700,701,750,751,752,753,754,755,756,757,806,807,808,809,810,811,812,813,954,955,956,957,1032,1033,1034,1035,1036,1037,1038,1039,1090,1091,1092,1093,1118,1119,1120,1121,1378,1379,1380,1381,1382,1383,1384,1385,1434,1435,1436,1437,1438,1439,1440,1441,1490,1491,1492,1493,1518,1519,1520,1521,1522,1523,1524,1525,1574,1869,1870,1871,1905,1906,1907,1908,1909,1910,1911,1912,1966,1967,1968,1969,1994,1995,1996,1997,1998,1999,2000,2001,2050,2051,2052,2053,2054,2055,2056,2057,2106,2107,2108,2109,2110,2217,2218,2219,2238,2239,2270,2271,2272,2273,2274,2275
90,141,53,175,126,112,166,68,107,175,87,146,151,146,200,112,97,244,190,170,136,166,214,122,146,195,136,205,205,151,92,258,136,195,131,156,190,234,146,317,214,92,78,73,141,58,58,185,112,141,141,146,200,122,73,214,131,146,156,156,185,166,170,190,229,131,146,258,175,83,107,112,151,190,122,151,224,180,161,195,205,146,102,258,239,156,166,170,195,102,107,263,175,73,92,97,146,219,131,126,185,83,43,180,112,112,117,122,131,151,175,161,214,112,117,244,136,97,78,78,141,156,156,195,219,156,102,258,278,170,161,190,200,200,151,327,209,73,136,107,175,68,200,170,200,112,63,151,87,156,175,97,43
100,83,9,122,87,58,166,14,53,107,29,92,107,92,200,63,43,185,126,112,87,112,214,73,87,141,87,151,205,102,39,195,83,141,87,102,190,180,92,253,156,34,29,24,146,14,4,126,53,83,97,97,200,73,14,156,73,92,107,107,185,112,117,131,229,73,87,195,122,29,53,58,151,136,73,97,219,122,117,141,200,97,48,200,175,97,117,117,195,53,53,200,122,19,43,48,146,161,83,73,185,34,-14,117,53,53,63,83,73,97,131,107,214,63,58,180,83,39,24,19,141,97,107,146,214,107,48,190,224,117,112,141,200,146,97,263,156,14,92,58,175,19,146,126,156,63,9,97,43,102,180,48,-9
110,24,-48,63,24,-4,166,-48,-4,48,-34,43,43,29,195,4,-19,122,68,58,29,43,214,14,24,87,34,87,205,39,-19,131,29,87,29,39,190,126,29,195,97,-14,-29,-39,141,-43,-53,68,-4,34,34,39,200,14,-39,92,14,43,48,43,185,58,58,73,224,19,24,136,63,-29,0,-4,151,83,14,39,219,68,58,78,205,39,-9,141,117,39,53,53,190,-4,-4,136,68,-34,-14,-14,141,107,19,9,185,-19,-73,48,-4,0,4,14,14,43,68,48,214,4,0,107,24,-14,-34,-43,141,43,48,83,214,53,-14,126,161,63,53,73,200,92,39,195,102,-39,29,-4,175,-39,92,63,87,4,-48,43,-14,43,180,-9,-68
120,-24,-112,9,-34,-63,161,-107,-63,-9,-87,-14,-19,-29,200,-53,-73,68,19,9,-34,-9,209,-39,-29,34,-29,29,205,-14,-73,78,-24,29,-34,-19,185,68,-24,136,48,-73,-87,-92,141,-102,-107,9,-53,-19,-24,-24,195,-39,-97,39,-34,-4,-9,-14,180,4,0,9,229,-39,-24,83,4,-78,-58,-58,151,34,-43,-29,219,14,-4,19,205,-19,-63,92,68,-14,0,-4,195,-58,-63,83,14,-83,-78,-73,141,53,-34,-43,180,-78,-126,0,-58,-48,-48,-43,-48,-9,9,-14,214,-53,-58,48,-29,-68,-87,-97,141,-4,-14,19,214,-4,-73,68,107,9,-9,14,195,34,-19,141,48,-97,-29,-63,170,-92,39,4,29,-48,-102,-9,-78,-19,175,-63,-122
130,-73,-166,-39,-87,-122,146,-161,-117,-68,-136,-63,-68,-87,180,-107,-126,14,-29,-39,-83,-68,190,-97,-78,-14,-78,-29,170,-73,-126,19,-78,-19,-83,-78,161,9,-73,83,-9,-122,-141,-151,122,-156,-156,-48,-107,-68,-78,-78,170,-97,-146,-19,-87,-63,-63,-68,156,-48,-53,-43,200,-92,-73,24,-43,-122,-117,-117,122,-14,-102,-83,190,-39,-58,-34,175,-73,-117,34,14,-63,-58,-63,166,-117,-112,24,-43,-136,-126,-131,107,4,-92,-107,151,-131,-175,-58,-112,-102,-97,-92,-107,-63,-43,-73,190,-107,-102,0,-83,-117,-136,-156,107,-53,-63,-39,190,-58,-126,19,58,-39,-58,-43,166,-24,-68,87,-14,-146,-83,-117,136,-146,-14,-48,-29,-97,-161,-58,-126,-78,151,-122,-175
140,-131,-219,-97,-141,-175,97,-214,-166,-117,-190,-117,-117,-141,126,-161,-175,-39,-87,-97,-131,-122,136,-151,-131,-68,-131,-83,117,-122,-175,-34,-131,-73,-136,-131,107,-39,-122,29,-63,-175,-195,-205,73,-209,-205,-97,-161,-122,-131,-136,122,-151,-195,-73,-141,-112,-117,-126,107,-102,-107,-102,151,-146,-122,-29,-97,-180,-166,-166,73,-73,-156,-131,141,-92,-112,-92,126,-131,-170,-24,-39,-122,-112,-117,122,-170,-166,-34,-102,-185,-180,-185,58,-48,-146,-161,107,-190,-229,-117,-166,-156,-151,-146,-161,-117,-97,-126,136,-161,-156,-58,-136,-170,-195,-209,58,-112,-117,-92,141,-117,-170,-43,0,-97,-107,-97,112,-78,-122,34,-68,-200,-131,-175,83,-200,-68,-102,-87,-156,-209,-117,-185,-131,102,-180,-229
150,-190,-278,-146,-195,-234,19,-268,-219,-161,-244,-175,-170,-200,53,-214,-229,-92,-136,-151,-190,-180,63,-205,-180,-126,-185,-136,48,-180,-229,-83,-190,-131,-190,-185,39,-92,-175,-24,-117,-229,-244,-263,0,-263,-258,-151,-214,-180,-185,-195,48,-200,-249,-126,-200,-166,-170,-180,34,-156,-156,-161,73,-205,-180,-78,-151,-234,-219,-224,0,-126,-205,-190,68,-146,-166,-146,48,-185,-219,-78,-97,-175,-161,-175,48,-224,-214,-83,-151,-244,-234,-239,-14,-107,-200,-214,34,-249,-283,-166,-219,-209,-209,-209,-219,-170,-156,-185,63,-219,-209,-107,-195,-224,-249,-263,-14,-166,-175,-151,68,-170,-224,-92,-53,-151,-166,-156,43,-131,-175,-14,-122,-253,-190,-229,14,-253,-122,-156,-141,-209,-268,-170,-239,-190,34,-229,-278
160,-244,-327,-200,-244,-292,-39,-322,-268,-219,-297,-224,-229,-253,-4,-268,-283,-151,-195,-205,-244,-234,4,-258,-229,-180,-244,-190,-4,-229,-278,-136,-239,-180,-244,-244,-14,-151,-224,-78,-170,-283,-297,-312,-58,-317,-307,-200,-268,-234,-239,-253,-9,-253,-297,-175,-253,-219,-224,-234,-24,-209,-214,-209,14,-258,-234,-136,-205,-288,-273,-278,-58,-185,-258,-244,14,-200,-214,-205,-9,-239,-273,-131,-151,-229,-214,-229,-14,-278,-268,-131,-209,-292,-288,-292,-68,-156,-249,-268,-29,-297,-332,-224,-273,-263,-263,-263,-268,-229,-209,-234,4,-273,-263,-161,-244,-278,-302,-322,-68,-219,-224,-205,9,-224,-278,-151,-102,-205,-219,-214,-14,-185,-224,-78,-170,-307,-244,-283,-39,-302,-180,-209,-195,-268,-317,-229,-292,-244,-24,-283,-332
170,-292,-380,-258,-302,-341,-97,-380,-322,-278,-351,-283,-283,-307,-58,-322,-332,-205,-249,-258,-297,-288,-53,-307,-288,-234,-292,-249,-58,-283,-336,-195,-292,-239,-297,-297,-78,-200,-278,-126,-224,-336,-351,-371,-117,-371,-361,-253,-322,-288,-292,-302,-68,-307,-356,-234,-302,-278,-278,-292,-83,-268,-268,-263,-39,-307,-288,-190,-258,-341,-327,-327,-112,-239,-312,-297,-48,-253,-268,-253,-63,-292,-327,-180,-200,-283,-273,-283,-68,-332,-327,-185,-263,-346,-341,-351,-122,-209,-307,-322,-83,-351,-390,-278,-327,-312,-317,-317,-327,-283,-263,-292,-53,-327,-317,-219,-297,-332,-356,-371,-122,-278,-283,-258,-48,-273,-332,-205,-156,-263,-278,-263,-68,-234,-278,-131,-229,-361,-302,-336,-87,-361,-234,-263,-253,-327,-371,-283,-351,-297,-83,-341,-385
180,-356,-439,-312,-361,-395,-151,-429,-380,-332,-400,-336,-341,-356,-117,-375,-385,-253,-297,-317,-356,-336,-107,-361,-341,-288,-351,-292,-117,-336,-390,-244,-346,-292,-351,-346,-131,-253,-332,-185,-278,-390,-410,-419,-170,-424,-410,-307,-371,-341,-346,-356,-122,-361,-405,-283,-356,-332,-336,-341,-136,-322,-327,-317,-92,-361,-336,-244,-312,-390,-380,-380,-170,-288,-366,-351,-107,-307,-327,-312,-122,-346,-385,-234,-258,-341,-327,-336,-126,-385,-380,-244,-317,-400,-395,-395,-180,-263,-361,-375,-141,-405,-444,-332,-380,-361,-371,-371,-380,-336,-322,-341,-107,-375,-366,-268,-356,-385,-415,-424,-180,-332,-341,-312,-102,-327,-385,-253,-214,-317,-336,-322,-126,-292,-332,-180,-278,-415,-361,-390,-141,-415,-288,-322,-302,-380,-429,-336,-405,-351,-141,-395,-439
